2022-12-13 20:51:12.281498 [src/ip_input.c:64] - Thread[netdev_rx_loop] Not sup IGMP
2022-12-13 20:51:22.609049 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:22.711248 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:22.812997 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:22.914212 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:23.015738 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:23.068476 [src/socket.c:217] - Thread[timers] Socket fd 4097 pid 72778 state 3 sk_state 0 flags 2 poll 4 sport 44651 dport 19999 recv-q 0 send-q 1: 
2022-12-13 20:51:23.068547 [src/socket.c:217] - Thread[timers] Socket fd 4098 pid 72928 state 3 sk_state 0 flags 2 poll 198 sport 47492 dport 20000 recv-q 0 send-q 0: 
2022-12-13 20:51:23.068559 [src/socket.c:217] - Thread[timers] Socket fd 4099 pid 72992 state 3 sk_state 7 flags 2 poll 967 sport 49253 dport 8001 recv-q 0 send-q 0: 
2022-12-13 20:51:23.068564 [src/socket.c:217] - Thread[timers] Socket fd 4100 pid 73003 state 3 sk_state 7 flags 2048 poll 967 sport 49264 dport 8001 recv-q 2 send-q 0: 
2022-12-13 20:51:23.068570 [src/socket.c:217] - Thread[timers] Socket fd 4101 pid 73014 state 3 sk_state 3 flags 2 poll 772 sport 49295 dport 8004 recv-q 0 send-q 0: 
2022-12-13 20:51:23.068574 [src/socket.c:217] - Thread[timers] Socket fd 4102 pid 73032 state 2 sk_state 1 flags 2 poll 0 sport 49306 dport 8002 recv-q 0 send-q 1: 
2022-12-13 20:51:23.068579 [src/socket.c:217] - Thread[timers] Socket fd 4103 pid 73035 state 3 sk_state 7 flags 2 poll 966 sport 49307 dport 8003 recv-q 0 send-q 0: 
2022-12-13 20:51:23.068584 [src/socket.c:217] - Thread[timers] Socket fd 4104 pid 73046 state 3 sk_state 7 flags 2048 poll 967 sport 49318 dport 8003 recv-q 2 send-q 0: 
2022-12-13 20:51:23.068590 [src/timer.c:27] - Thread[timers] TIMERS: Total amount currently 6
2022-12-13 20:51:23.117276 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:23.218411 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:23.229668 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 11 pid 73003
2022-12-13 20:51:23.229886 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 11 pid 73003
2022-12-13 20:51:23.229984 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 11 pid 73003
2022-12-13 20:51:23.230088 [src/ipc.c:173] - Thread[ipc_loop] [IPC] on_recv ipc_close, fd 11 pid 73003
2022-12-13 20:51:23.247778 [src/ipc.c:157] - Thread[ipc_loop] [IPC] on_recv ipc_socket, fd 11 pid 73122
2022-12-13 20:51:23.248721 [src/ipc.c:127] - Thread[ipc_loop] [IPC] on_recv ipc_connect, fd 11 pid 73122
2022-12-13 20:51:23.320484 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:23.328582 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 14 pid 73046
2022-12-13 20:51:23.328882 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 14 pid 73046
2022-12-13 20:51:23.329024 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 14 pid 73046
2022-12-13 20:51:23.329171 [src/ipc.c:173] - Thread[ipc_loop] [IPC] on_recv ipc_close, fd 14 pid 73046
2022-12-13 20:51:23.336015 [src/ipc.c:157] - Thread[ipc_loop] [IPC] on_recv ipc_socket, fd 11 pid 73171
2022-12-13 20:51:23.336201 [src/ipc.c:127] - Thread[ipc_loop] [IPC] on_recv ipc_connect, fd 11 pid 73171
2022-12-13 20:51:23.421744 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:23.523493 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:23.624661 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
